Date,Open,High,Low,Close,Volume
01/24/12,99.88,100.18,98.25,98.95,225258
01/25/12,99.2,100.4,97.53,99.4,305113
01/26/12,99.96,101.39,99.23,99.7,249035
01/27/12,99.93,100.63,99.13,99.56,238695
01/30/12,100,100.05,98.43,98.78,197802
01/31/12,98.88,101.29,97.86,98.48,351698
02/01/12,98.38,99.49,97.11,97.61,272348
02/02/12,97.11,97.99,95.44,96.36,308738
02/03/12,96.61,98.03,96.01,97.84,297575
02/06/12,97.74,97.75,96.38,96.91,240403
02/07/12,97.13,99.13,95.84,98.41,385704
02/08/12,98.77,100.09,98.1,98.71,339608
02/09/12,99.1,100.18,98.66,99.84,267614
02/10/12,99.89,99.89,97.32,98.67,270760
02/13/12,99.33,100.87,99.09,103.97,241077
02/14/12,103.5,104.3,103.41,103.63,53607
02/15/12,103.84,104.9,103.46,102.14,56385
02/16/12,102.27,103.01,101.18,102.64,148261
02/17/12,102.64,104.5,102.55,103.6,229149
02/20/12,104.75,105.8,104.7,103.6,52930
02/21/12,104.75,106.48,104.61,106.25,304338
02/22/12,106.01,106.72,105.61,106.28,229406
02/23/12,105.95,108.74,105.45,107.83,310683
02/24/12,108.66,109.95,107.95,109.77,252985
02/27/12,109.67,109.77,107.27,108.56,264116
02/28/12,107.95,108.79,106.3,106.55,260802
02/29/12,106.46,107.43,104.84,107.07,334040
03/01/12,106.82,110.55,106.55,108.84,369681
03/02/12,108.75,109.03,105.8,106.7,282646
03/05/12,106.75,107.42,105.5,106.72,221830
03/06/12,107.11,107.34,104.51,104.7,313690
03/07/12,104.93,106.55,104.35,106.16,307299
03/08/12,106.24,107.2,105.84,106.58,251117
03/09/12,106.91,108.2,106.13,107.4,266600
03/12/12,107.5,107.56,105.38,106.84,210938
03/13/12,107.01,107.85,106.2,107.24,82796
03/14/12,107.24,107.55,105.65,105.95,98064
03/15/12,106,106.7,104.29,105.65,155397
03/16/12,105.9,107.85,105.65,107.58,139951
03/19/12,107.78,108.7,107.04,108.56,231215
03/20/12,108.36,108.37,105.7,106.07,319212
03/21/12,106.33,107.64,106.06,107.27,239921
03/22/12,106.81,107.12,104.5,105.35,284594
03/23/12,105.52,108.25,105.16,106.87,245077
03/26/12,106.79,107.32,106.19,107.03,152631
03/27/12,107.09,107.73,106.52,107.33,196440
03/28/12,106.81,106.94,104.67,105.41,291261
03/29/12,105.58,105.7,102.13,102.78,303172
03/30/12,103.29,104.15,102.78,103.02,221794
04/02/12,103.27,105.49,102.06,105.23,260598
04/03/12,105.04,105.18,103.59,104.01,227531
04/04/12,104.09,104.12,101.08,101.47,275851
04/05/12,101.96,103.4,101.37,103.31,220673
04/09/12,102.53,102.6,100.81,102.46,182216
04/10/12,102.33,102.96,100.68,101.02,283333
04/11/12,100.94,103.13,100.84,103.18,254574
04/12/12,103.08,104.69,102.86,104.1,129098
04/13/12,104.15,104.34,103.07,103.32,96051
04/16/12,103.23,103.84,102.28,103.37,129611
04/17/12,103.61,105.5,103.1,104.64,147815
04/18/12,104.69,104.94,102.63,103.12,173435
04/19/12,103.21,103.66,102.13,102.72,231149
04/20/12,103.06,104.68,102.86,103.88,213723
04/23/12,103.82,103.9,101.82,103.11,199267
04/24/12,103.11,104.1,102.79,103.55,181968
04/25/12,103.76,104.57,103.11,104.12,263744
04/26/12,103.96,104.92,103.84,104.55,178474
04/27/12,104.1,105,103.74,104.93,160310
04/30/12,104.93,105.16,103.88,104.87,191215
05/01/12,104.89,106.43,104.39,106.16,230219
05/02/12,105.98,106.05,104.91,105.22,244083
05/03/12,105.39,105.42,102.36,102.54,301362
05/04/12,102.59,102.72,97.51,98.49,423376
05/07/12,98.05,98.24,95.34,97.94,276451
05/08/12,97.96,98.12,95.52,97.01,303163
05/09/12,97.38,97.39,95.17,96.81,300490
05/10/12,96.45,97.69,96.08,97.41,251850
05/11/12,96.8,97.54,95.94,96.49,76821
05/14/12,96.22,96.22,94.02,95.13,72563
05/15/12,94.35,95.83,93.4,94.35,104776
05/16/12,93.8,94.53,92.19,93.19,116590
05/17/12,93.1,94.24,92.47,92.94,127508
05/18/12,93.24,93.24,91.25,91.8,164189
05/21/12,91.71,93.34,91.12,92.86,196290
05/22/12,92.87,93.3,91.2,91.85,215485
05/23/12,91.54,91.72,89.28,89.9,263381
05/24/12,90.53,91.52,89.81,90.66,216372
05/25/12,90.79,91.32,90.2,90.86,137825
05/28/12,91,91.99,90.95,90.86,23948
05/29/12,91,92.21,90.25,90.76,250357
05/30/12,90.86,90.92,87.27,87.82,281470
05/31/12,87.55,88.28,85.86,86.53,325326
06/01/12,86.44,86.59,82.29,83.23,384000
06/04/12,82.96,84.38,81.21,83.98,287941
06/05/12,84.14,84.92,83.31,84.29,223169
06/06/12,84.12,86.27,84.03,85.02,289723
06/07/12,85.5,87.03,83.43,84.82,303691
06/08/12,83.63,84.67,82,84.1,276501
06/11/12,85.72,86.64,81.11,82.7,304471
06/12/12,81.18,83.72,81.07,83.32,294227
06/13/12,83.51,84.01,82.15,82.92,288969
06/14/12,82.78,84.72,82.57,84.22,105260
06/15/12,84.67,85.1,83.73,84.33,104521
06/18/12,85.5,85.89,82.36,83.6,167571
06/19/12,83.44,84.75,82.6,84.35,268450
06/20/12,84.36,84.72,80.86,81.45,401962
06/21/12,81.08,81.2,77.93,78.2,364589
06/22/12,78.11,80.37,77.56,79.76,277899
06/25/12,80.2,80.68,78.03,79.21,238111
06/26/12,79.23,79.68,78.36,79.36,241350
06/27/12,79.47,80.92,78.68,80.21,240519
06/28/12,80.48,80.84,77.28,77.69,295842
06/29/12,78.46,85.34,78.28,84.96,417342
07/02/12,84.65,85.05,82.1,83.75,273722
07/03/12,83.67,88.04,83.33,87.66,319202
07/04/12,87.75,87.77,86.5,87.66,33735
07/05/12,87.75,88.98,86.5,87.22,349902
07/06/12,86.73,87.13,84.02,84.45,269727
07/09/12,84.26,86.48,84.21,85.99,230290
07/10/12,85.84,85.95,83.65,83.91,261643
07/11/12,84.01,86.49,84.01,85.81,277875
